Model,CAM,mIOU,mDICE,mMAE
standard,gradcam,0.2783298864191093,0.34195584655719136,0.4473446411706629
standard,gradcam++,0.5452348797302554,0.6571405538996,0.41359908690401276
standard,scorecam,0.10549846140572455,0.1657516330876464,0.496121690185649
confidence,gradcam,0.25743301398442614,0.3441543564724494,0.45288130655640463
confidence,gradcam++,0.4880350303111659,0.5872248297003945,0.40063451651300563
confidence,scorecam,0.32620256126151764,0.4374475461813833,0.4505129927066994
paper,gradcam,0.35191497261875104,0.4791876225942796,0.4422150987093566
paper,gradcam++,0.3918481721406842,0.5075837502143159,0.44575697926224256
paper,scorecam,0.012378268117251179,0.02216751654413806,0.5144937123675846
illumicam3,gradcam,0.35413430887601305,0.44803534737973155,0.40846956116987054
illumicam3,gradcam++,0.5444520453750853,0.6293092202068522,0.35724902648906237
illumicam3,scorecam,0.4103698253078472,0.5109535115010518,0.4126479804393698
